epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.715624988079071,0.0010000000474974513,15.349091529846191,0.7244710326194763,0.703125,0.25,16.26849937438965,0.25,0.25
1,0.7651785612106323,0.0010000000474974513,7.960504055023193,0.7685018181800842,0.7602678537368774,0.5,7.946816444396973,0.5026929974555969,0.5
2,0.7946428656578064,0.0010000000474974513,4.343379020690918,0.8012675642967224,0.7901785969734192,0.43392857909202576,4.885491371154785,0.43984219431877136,0.39821428060531616
3,0.7848214507102966,0.0010000000474974513,3.120283842086792,0.7897366285324097,0.7763392925262451,0.47857141494750977,3.8000950813293457,0.48737862706184387,0.4482142925262451
4,0.7955357432365417,0.0010000000474974513,2.414269208908081,0.7981029748916626,0.7888392806053162,0.4535714387893677,3.138278007507324,0.4736842215061188,0.3214285671710968
5,0.8022321462631226,0.0010000000474974513,2.1050941944122314,0.8043184876441956,0.7982142567634583,0.6017857193946838,2.4101884365081787,0.6807511448860168,0.5178571343421936
6,0.8098214268684387,0.0010000000474974513,1.8502012491226196,0.8157894611358643,0.8026785850524902,0.43214285373687744,2.5360004901885986,0.5831325054168701,0.43214285373687744
7,0.8223214149475098,0.0010000000474974513,1.642127275466919,0.8266183733940125,0.8151785731315613,0.7339285612106323,1.819866418838501,0.7408088445663452,0.7196428775787354
8,0.8325892686843872,0.0010000000474974513,1.4649555683135986,0.8366515636444092,0.8254464268684387,0.6839285492897034,1.60061514377594,0.685352623462677,0.6767857074737549
9,0.8165178298950195,0.0010000000474974513,1.3904145956039429,0.8196573257446289,0.8116071224212646,0.7446428537368774,1.4787660837173462,0.746835470199585,0.737500011920929
10,0.8357142806053162,0.0010000000474974513,1.2891408205032349,0.838142454624176,0.8299106955528259,0.7017857432365417,1.6499468088150024,0.7938144207000732,0.550000011920929
11,0.8142856955528259,0.0010000000474974513,1.4814960956573486,0.8152809143066406,0.8098214268684387,0.7285714149475098,1.6276953220367432,0.7335766553878784,0.7178571224212646
12,0.8232142925262451,0.0010000000474974513,1.2997245788574219,0.827104926109314,0.8200892806053162,0.7035714387893677,1.6446545124053955,0.7059891223907471,0.6946428418159485
13,0.8370535969734192,0.0010000000474974513,1.269279956817627,0.8438207507133484,0.8321428298950195,0.6839285492897034,1.8363882303237915,0.6870503425598145,0.6821428537368774
14,0.828125,0.0010000000474974513,1.185060739517212,0.8303330540657043,0.8236607313156128,0.7714285850524902,1.1471949815750122,0.7886792421340942,0.7464285492897034
15,0.8352678418159485,0.0010000000474974513,1.148339867591858,0.8382883071899414,0.8308035731315613,0.7303571701049805,1.1370062828063965,0.7298747897148132,0.7285714149475098
16,0.8450892567634583,0.0010000000474974513,1.1019976139068604,0.8498417139053345,0.8388392925262451,0.6642857193946838,1.3066753149032593,0.6654740571975708,0.6642857193946838
17,0.846875011920929,0.0010000000474974513,1.1902697086334229,0.8492597341537476,0.8450892567634583,0.75,1.1445653438568115,0.75,0.75
18,0.8517857193946838,0.0010000000474974513,1.1328983306884766,0.8540637493133545,0.8491071462631226,0.7446428537368774,1.3419499397277832,0.7441860437393188,0.7428571581840515
19,0.8486607074737549,0.0010000000474974513,1.157931923866272,0.8512359261512756,0.8455356955528259,0.7607142925262451,1.1097573041915894,0.7642725706100464,0.7410714030265808
20,0.8473214507102966,0.0010000000474974513,1.092312216758728,0.8495734333992004,0.8446428775787354,0.7857142686843872,1.1037896871566772,0.831250011920929,0.7124999761581421
21,0.8433035612106323,0.0010000000474974513,1.1087983846664429,0.8465346693992615,0.8397321701049805,0.7285714149475098,1.2065942287445068,0.7285714149475098,0.7285714149475098
22,0.8620535731315613,0.0010000000474974513,0.9413747787475586,0.8626570701599121,0.8580357432365417,0.7946428656578064,1.0506179332733154,0.7992766499519348,0.7892857193946838
23,0.84375,0.0010000000474974513,1.403735876083374,0.8488267064094543,0.8397321701049805,0.7232142686843872,1.5142815113067627,0.7232142686843872,0.7232142686843872
